latitude,longitude,chlorophyll_mgm3
19.2544,68.7936,0.4457
19.2544,68.859,0.4264
19.2544,68.9245,0.4295
19.189,68.7936,0.4573
19.189,68.859,0.4746
18.8616,71.8708,0.6
18.7961,71.8053,0.4697
18.7961,71.9363,0.6818
18.7961,72.0017,0.6215
18.7961,72.0672,0.589
18.7307,71.347,0.3596
18.7307,71.8053,0.4533
18.7307,71.8708,0.4284
18.7307,72.0017,0.5867
18.7307,72.0672,0.552
18.6652,71.2161,0.3677
18.6652,71.2815,0.3535
18.6652,71.6744,0.4178
18.6652,72.0672,0.526
18.5997,70.8887,0.3509
18.5997,70.9542,0.3343
18.5997,71.0851,0.3446
18.5997,71.2815,0.3671
18.5997,71.6744,0.4044
18.5997,71.8053,0.4783
18.5997,71.8708,0.4759
18.5997,72.0017,0.4584
18.5997,72.0672,0.5008
18.5342,70.8232,0.454
18.5342,71.0851,0.3853
18.5342,71.2161,0.3743
18.5342,72.0017,0.4418
18.4688,70.9542,0.3398
18.4688,71.0196,0.3568
18.4688,71.0851,0.3687
18.4688,71.1506,0.3445
18.4688,71.2161,0.3421
18.4688,71.2815,0.3366
18.4688,71.4125,0.3213
18.4688,71.478,0.306
18.4688,71.8708,0.3922
18.4033,71.0196,0.3574
18.4033,71.0851,0.353
18.4033,71.1506,0.3443
18.4033,71.2161,0.3179
18.4033,71.2815,0.3396
18.4033,71.347,0.3655
18.4033,71.4125,0.3183
18.4033,71.8053,0.3683
18.4033,71.8708,0.3545
18.3378,70.5613,0.5493
18.3378,71.0196,0.3716
18.3378,71.2161,0.3291
18.3378,71.2815,0.3216
18.3378,71.347,0.3227
18.3378,71.4125,0.293
18.3378,71.478,0.2968
18.3378,71.8053,0.3574
18.3378,71.8708,0.3587
18.2723,70.4959,0.4491
18.2723,70.8887,0.423
18.2723,70.9542,0.3932
18.2723,71.2161,0.3558
18.2723,71.2815,0.3886
18.2723,71.4125,0.3045
18.2069,70.4959,0.5619
18.2069,70.5613,0.4639
18.2069,70.6268,0.4873
18.2069,70.8887,0.4822
18.2069,70.9542,0.3861
18.2069,71.0196,0.3822
18.2069,71.0851,0.3552
18.1414,70.4959,0.4779
18.1414,70.6923,0.4858
18.1414,70.7578,0.5005
18.1414,70.8232,0.4369
18.1414,70.8887,0.4531
18.1414,70.9542,0.4253
18.1414,71.0196,0.4592
18.1414,71.0851,0.371
18.1414,71.1506,0.3758
18.1414,71.2161,0.3355
18.1414,71.2815,0.3571
18.0759,70.4304,0.4968
18.0759,70.4959,0.4841
18.0759,70.5613,0.4213
18.0759,70.6923,0.5078
18.0759,70.7578,0.4656
18.0759,70.8232,0.5809
18.0759,70.8887,0.4516
18.0759,70.9542,0.4465
18.0759,71.0196,0.4782
18.0759,71.1506,0.3733
18.0759,71.2161,0.3714
18.0104,70.2994,0.5033
18.0104,70.3649,0.4603
18.0104,70.4959,0.4445
18.0104,70.5613,0.4844
18.0104,70.6268,0.429
18.0104,70.6923,0.4212
18.0104,70.7578,0.4285
18.0104,70.8232,0.4243
18.0104,70.8887,0.4511
18.0104,70.9542,0.4414
18.0104,71.0851,0.4254
18.0104,71.2161,0.3785
18.0104,71.2815,0.3506
18.0104,71.347,0.3196
18.0104,71.8053,0.3809
17.945,70.2994,0.4465
17.945,70.3649,0.4816
17.945,70.5613,0.4808
17.945,70.6268,0.4442
17.945,70.6923,0.4561
17.945,70.7578,0.5182
17.945,70.8887,0.4804
17.945,71.0196,0.4929
17.945,71.2161,0.4004
17.945,71.2815,0.3447
17.8795,70.234,0.5715
17.8795,70.2994,0.4992
17.8795,70.4304,0.4532
17.8795,70.4959,0.4413
17.8795,70.5613,0.4777
17.814,70.4959,0.464
17.814,70.5613,0.3742
17.814,70.7578,0.4132
17.814,71.5434,0.3719
17.7485,70.4959,0.3961
17.7485,70.5613,0.4311
17.7485,70.6268,0.3937
17.7485,70.6923,0.4446
17.7485,70.7578,0.4164
17.7485,70.8232,0.4428
17.7485,70.8887,0.4428
17.7485,70.9542,0.4642
17.7485,71.0196,0.4675
17.7485,71.0851,0.4304
17.7485,71.1506,0.4632
17.7485,71.2815,0.4294
17.6831,70.4959,0.407
17.6831,70.5613,0.411
17.6831,70.6268,0.402
17.6831,70.6923,0.3884
17.6831,70.7578,0.3784
17.6831,70.8232,0.4582
17.6831,71.0851,0.5113
17.6831,71.1506,0.4442
17.6831,71.2161,0.4953
17.6831,71.2815,0.4656
17.6831,71.4125,0.3699
17.6831,71.6089,0.3782
17.6176,70.4959,0.4394
17.6176,70.5613,0.4438
17.6176,70.6268,0.4189
17.6176,70.6923,0.4035
17.6176,70.7578,0.4122
17.6176,70.8232,0.4112
17.6176,70.8887,0.3891
17.6176,70.9542,0.3915
17.6176,71.0196,0.4109
17.6176,71.0851,0.4466
17.6176,71.1506,0.5128
17.6176,71.2161,0.4665
17.6176,71.4125,0.389
17.5521,70.4304,0.4729
17.5521,70.5613,0.4234
17.5521,70.6268,0.5392
17.5521,70.6923,0.4526
17.5521,70.7578,0.4887
17.5521,70.8232,0.4306
17.5521,70.8887,0.449
17.5521,70.9542,0.3863
17.5521,71.0196,0.4256
17.5521,71.0851,0.401
17.5521,71.1506,0.4803
17.5521,71.2161,0.4144
17.4866,70.4959,0.4628
17.4866,70.5613,0.4498
17.4866,70.6923,0.4128
17.4866,70.7578,0.4218
17.4866,70.8232,0.4808
17.4866,70.8887,0.4382
17.4866,70.9542,0.413
17.4866,71.0196,0.4126
17.4866,71.0851,0.4392
17.4866,71.1506,0.4661
17.4866,71.2161,0.4016
17.4866,71.2815,0.4142
17.4212,69.7102,0.4581
17.4212,70.4959,0.4819
17.4212,70.5613,0.4569
17.4212,70.6268,0.4123
17.4212,70.6923,0.4291
17.4212,70.7578,0.4352
17.4212,70.8232,0.4532
17.4212,70.8887,0.4742
17.4212,70.9542,0.4889
17.4212,71.0196,0.4761
17.4212,71.1506,0.3935
17.4212,71.2161,0.4178
17.4212,71.347,0.3928
17.3557,70.3649,0.5031
17.3557,70.5613,0.526
17.3557,70.7578,0.4687
17.3557,70.8887,0.5024
17.3557,70.9542,0.4615
17.3557,71.0196,0.4554
17.3557,71.0851,0.4304
17.3557,71.1506,0.4038
17.3557,71.2161,0.4154
17.3557,71.2815,0.3697
17.2902,70.6268,0.4036
17.2902,70.7578,0.4326
17.2902,70.8232,0.4631
17.2902,70.8887,0.4676
17.2902,70.9542,0.4957
17.2902,71.0196,0.4539
17.2902,71.0851,0.4541
17.2248,70.1685,0.5342
17.2248,70.2994,0.4402
17.2248,70.4959,0.4377
17.2248,70.5613,0.4271
17.2248,70.6268,0.4279
17.2248,70.6923,0.4436
17.2248,70.7578,0.4453
17.2248,71.0196,0.4494
17.2248,71.347,0.3702
17.2248,71.4125,0.3372
17.2248,71.478,0.3631
17.1593,70.5613,0.4324
17.1593,70.8232,0.4352
17.1593,70.8887,0.4518
17.1593,70.9542,0.3966
17.0938,70.4304,0.4194
17.0938,70.7578,0.4571
17.0283,71.347,0.402
16.9629,70.103,0.4647
16.9629,70.9542,0.3711
16.8974,70.5613,0.4511
16.8974,70.6923,0.4302
16.8974,70.7578,0.4345
16.8319,70.234,0.5283
16.8319,70.5613,0.4219
16.8319,70.6923,0.4264
16.8319,70.7578,0.413
16.8319,71.2815,0.3678
16.8319,71.4125,0.4055
16.7664,69.7102,0.4427
16.7664,70.234,0.5497
16.7664,70.2994,0.4446
16.7664,70.4304,0.5474
16.7664,70.6923,0.4758
16.7664,70.7578,0.4503
16.7664,70.8232,0.4507
16.6355,71.2161,0.3594
16.6355,71.2815,0.3493
16.57,69.9721,0.6836
16.57,70.103,0.6436
16.57,70.1685,0.674
16.57,71.2161,0.3791
16.5045,70.103,0.6483
16.5045,70.1685,0.5965
16.5045,70.7578,0.4988
16.5045,70.9542,0.3959
16.4391,67.9424,0.598
16.4391,69.9066,0.6501
16.4391,70.0376,0.6666
16.4391,70.103,0.5557
16.4391,70.1685,0.5719
16.4391,70.7578,0.4673
16.4391,70.8232,0.4968
16.4391,70.9542,0.4707
16.3736,67.877,2.2439
16.3736,69.5792,0.6581
16.3736,69.6447,0.5754
16.3736,69.7102,0.5783
16.3736,69.8411,0.5135
16.3736,70.0376,0.7022
16.3736,70.103,0.6026
16.3736,70.1685,0.563
16.3736,70.234,0.4974
16.3736,70.3649,0.4743
16.3736,70.5613,0.5146
16.3736,70.6268,0.5849
16.3736,70.8232,0.4564
16.3736,71.0196,0.3785
16.3081,69.5138,0.5568
16.3081,69.5792,0.5663
16.3081,69.9066,0.6106
16.3081,69.9721,0.759
16.3081,70.1685,0.5422
16.3081,70.2994,0.4701
16.3081,70.3649,0.444
16.3081,70.4304,0.5182
16.3081,70.6268,0.525
16.3081,70.6923,0.4468
16.3081,70.7578,0.4868
16.3081,70.8232,0.4471
16.3081,70.8887,0.4565
16.3081,70.9542,0.3896
16.3081,71.0196,0.3751
16.3081,71.0851,0.3798
16.3081,71.1506,0.3697
16.2426,69.5138,0.5493
16.2426,69.6447,0.5098
16.2426,69.7102,0.5389
16.2426,69.7757,0.6906
16.2426,69.8411,0.5669
16.2426,70.0376,0.5627
16.2426,70.103,0.7075
16.2426,70.1685,0.4949
16.2426,70.234,0.5243
16.2426,70.3649,0.4772
16.2426,70.4304,0.4316
16.2426,70.6268,0.4929
16.2426,70.7578,0.4671
16.2426,70.8232,0.4222
16.2426,70.8887,0.4209
16.2426,70.9542,0.4328
16.2426,71.1506,0.4467
16.1772,69.1864,0.545
16.1772,69.2519,0.569
16.1772,69.3828,0.501
16.1772,69.4483,0.4713
16.1772,69.5138,0.5649
16.1772,69.5792,0.5016
16.1772,69.6447,0.5308
16.1772,69.7102,0.6208
16.1772,69.7757,0.5257
16.1772,69.8411,0.5592
16.1772,69.9066,0.5294
16.1772,70.103,0.559
16.1772,70.234,0.4819
16.1772,70.2994,0.4857
16.1772,70.3649,0.439
16.1772,70.4304,0.4355
16.1772,70.8232,0.5135
16.1772,70.8887,0.4537
16.1117,67.8115,0.4083
16.1117,68.2698,0.5856
16.1117,68.3353,0.5623
16.1117,68.5317,0.5723
16.1117,68.7281,0.6331
16.1117,68.7936,0.5503
16.1117,68.9245,0.58
16.1117,69.1864,0.4975
16.1117,69.2519,0.504
16.1117,69.3174,0.4963
16.1117,69.3828,0.5377
16.1117,69.4483,0.5248
16.1117,69.5138,0.5183
16.1117,69.5792,0.5479
16.1117,69.6447,0.6507
16.1117,69.7102,0.6209
16.1117,69.7757,0.5715
16.1117,69.8411,0.5642
16.1117,69.9066,0.5321
16.1117,69.9721,0.5332
16.1117,70.0376,0.552
16.1117,70.1685,0.4741
16.1117,70.234,0.4874
16.1117,70.2994,0.4295
16.1117,70.3649,0.4331
16.1117,70.8232,0.7042
16.0462,67.8115,2.0999
16.0462,67.877,0.5222
16.0462,68.3353,0.558
16.0462,68.4007,0.5796
16.0462,68.4662,0.5964
16.0462,68.5317,0.6055
16.0462,68.5972,0.6051
16.0462,68.6626,0.5726
16.0462,68.859,0.5336
16.0462,69.2519,0.4896
16.0462,69.3174,0.4381
16.0462,69.3828,0.5258
16.0462,69.4483,0.4829
16.0462,69.5138,0.4751
16.0462,69.5792,0.7024
16.0462,69.6447,0.5147
16.0462,69.7102,0.5135
16.0462,69.7757,0.597
16.0462,69.8411,0.5495
16.0462,69.9066,0.5501
16.0462,69.9721,0.5033
16.0462,70.0376,0.5086
16.0462,70.103,0.5245
16.0462,70.1685,0.507
16.0462,70.2994,0.4692
16.0462,70.4959,0.4719
16.0462,70.8232,0.4763
15.9808,68.4007,0.5693
15.9808,68.4662,0.5485
15.9808,68.5317,0.5936
15.9808,68.5972,0.6032
15.9808,68.6626,0.5819
15.9808,68.7281,0.6387
15.9808,68.859,0.5228
15.9808,68.9245,0.4801
15.9808,68.99,0.4691
15.9808,69.1209,0.4538
15.9808,69.3174,0.5052
15.9808,69.3828,0.6998
15.9808,69.4483,0.4892
15.9808,69.5138,0.51
15.9808,69.5792,0.5398
15.9808,69.7102,0.51
15.9808,69.7757,0.5444
15.9808,69.8411,0.5264
15.9808,69.9066,0.5365
15.9808,69.9721,0.504
15.9808,70.103,0.442
15.9808,70.1685,0.4648
15.9808,70.234,0.4795
15.9808,70.2994,0.4585
15.9153,68.4007,0.5949
15.9153,68.4662,0.5819
15.9153,68.5317,0.5755
15.9153,68.5972,0.5854
15.9153,68.6626,0.6904
15.9153,68.7281,0.5969
15.9153,68.859,0.573
15.9153,68.9245,0.4758
15.9153,68.99,0.5336
15.9153,69.0555,0.5308
15.9153,69.1209,0.4857
15.9153,69.1864,0.4723
15.9153,69.2519,0.4876
15.9153,69.3174,0.5246
15.9153,69.3828,0.4979
15.9153,69.4483,0.4406
15.9153,69.5138,0.5499
15.9153,69.5792,0.5337
15.9153,69.6447,0.5897
15.9153,69.7102,0.4943
15.9153,69.7757,0.5388
15.9153,69.8411,0.6158
15.9153,69.9066,0.526
15.9153,69.9721,0.5538
15.9153,70.0376,0.5494
15.9153,70.1685,0.5074
15.9153,70.3649,0.4411
15.8498,67.8115,0.5944
15.8498,67.877,0.5397
15.8498,67.9424,0.5358
15.8498,68.4662,0.7691
15.8498,68.5317,0.6238
15.8498,68.5972,0.6051
15.8498,68.6626,0.5312
15.8498,68.7281,0.5661
15.8498,68.7936,0.5667
15.8498,68.859,0.4948
15.8498,68.9245,0.4914
15.8498,68.99,0.5397
15.8498,69.0555,0.5014
15.8498,69.1209,0.5168
15.8498,69.1864,0.5295
15.8498,69.2519,0.5592
15.8498,69.5792,0.6568
15.8498,69.6447,0.5096
15.8498,69.7102,0.4911
15.7843,67.746,1.0385
15.7843,67.8115,0.5673
15.7843,68.0734,0.5777
15.7843,68.1388,0.5846
15.7843,68.2043,0.5939
15.7843,68.5317,0.6385
15.7843,68.5972,0.602
15.7843,68.6626,0.6197
