latitude,longitude,sst_celsius
19.2544,68.7936,2.46
19.2544,68.859,2.45
19.2544,68.9245,2.5
19.189,68.7936,2.44
19.189,68.859,2.45
18.8616,71.8708,2.31
18.7961,71.8053,2.42
18.7961,71.9363,2.36
18.7961,72.0017,2.35
18.7961,72.0672,2.38
18.7307,71.347,2.59
18.7307,71.8053,2.48
18.7307,71.8708,2.44
18.7307,72.0017,2.33
18.7307,72.0672,2.36
18.6652,71.2161,2.51
18.6652,71.2815,2.46
18.6652,71.6744,2.51
18.6652,72.0672,2.36
18.5997,70.8887,2.44
18.5997,70.9542,2.42
18.5997,71.0851,2.45
18.5997,71.2815,2.54
18.5997,71.6744,2.51
18.5997,71.8053,2.33
18.5997,71.8708,2.37
18.5997,72.0017,2.36
18.5997,72.0672,2.37
18.5342,70.8232,2.6
18.5342,71.0851,2.45
18.5342,71.2161,2.49
18.5342,72.0017,2.36
18.4688,70.9542,2.38
18.4688,71.0196,2.4
18.4688,71.0851,2.43
18.4688,71.1506,2.42
18.4688,71.2161,2.43
18.4688,71.2815,2.46
18.4688,71.4125,2.5
18.4688,71.478,2.4
18.4688,71.8708,2.36
18.4033,71.0196,2.35
18.4033,71.0851,2.36
18.4033,71.1506,2.31
18.4033,71.2161,2.37
18.4033,71.2815,2.4
18.4033,71.347,2.46
18.4033,71.4125,2.48
18.4033,71.8053,2.53
18.4033,71.8708,2.52
18.3378,70.5613,2.45
18.3378,71.0196,2.39
18.3378,71.2161,2.4
18.3378,71.2815,2.39
18.3378,71.347,2.41
18.3378,71.4125,2.44
18.3378,71.478,2.42
18.3378,71.8053,2.33
18.3378,71.8708,2.52
18.2723,70.4959,2.55
18.2723,70.8887,2.48
18.2723,70.9542,2.43
18.2723,71.2161,2.45
18.2723,71.2815,2.47
18.2723,71.4125,2.45
18.2069,70.4959,2.33
18.2069,70.5613,2.52
18.2069,70.6268,2.56
18.2069,70.8887,2.46
18.2069,70.9542,2.42
18.2069,71.0196,2.38
18.2069,71.0851,2.41
18.1414,70.4959,2.62
18.1414,70.6923,2.54
18.1414,70.7578,2.34
18.1414,70.8232,2.46
18.1414,70.8887,2.47
18.1414,70.9542,2.44
18.1414,71.0196,2.46
18.1414,71.0851,2.44
18.1414,71.1506,2.52
18.1414,71.2161,2.48
18.1414,71.2815,2.56
18.0759,70.4304,2.65
18.0759,70.4959,2.54
18.0759,70.5613,2.43
18.0759,70.6923,2.49
18.0759,70.7578,2.49
18.0759,70.8232,2.52
18.0759,70.8887,2.46
18.0759,70.9542,2.47
18.0759,71.0196,2.52
18.0759,71.1506,2.46
18.0759,71.2161,2.5
18.0104,70.2994,2.65
18.0104,70.3649,2.61
18.0104,70.4959,2.51
18.0104,70.5613,2.52
